policy,modulus_profile,d,rank,coeff_linf_bound,max_width,scalar_n,search_cap,hit_cap,profile,target_bits,max_adps16_quantum_rop_log2,next_adps16_quantum_rop_log2,max_beta,max_zeta,next_beta,next_zeta,cutoff_kind
Quantum128BitADPS16,q31,128,14,2,6400000000000,1792,6400000000000,true,local-minimum+proven-pruned-certification,128.0,362.520000000000,,1368,0,,,AtLeast
Quantum128BitADPS16,q31,128,15,2,6400000000000,1920,6400000000000,true,local-minimum+proven-pruned-certification,128.0,395.910000000000,,1494,0,,,AtLeast
Quantum128BitADPS16,q31,128,16,2,6400000000000,2048,6400000000000,true,local-minimum+proven-pruned-certification,128.0,430.095000000000,,1623,0,,,AtLeast
Quantum128BitADPS16,q31,128,17,2,6400000000000,2176,6400000000000,true,local-minimum+proven-pruned-certification,128.0,464.545000000000,,1753,0,,,AtLeast
Quantum128BitADPS16,q31,128,18,2,6400000000000,2304,6400000000000,true,local-minimum+proven-pruned-certification,128.0,499.260000000000,,1884,0,,,AtLeast
Quantum128BitADPS16,q31,128,19,2,6400000000000,2432,6400000000000,true,local-minimum+proven-pruned-certification,128.0,534.505000000000,,2017,0,,,AtLeast
Quantum128BitADPS16,q31,128,20,2,6400000000000,2560,6400000000000,true,local-minimum+proven-pruned-certification,128.0,570.280000000000,,2152,0,,,AtLeast
Quantum128BitADPS16,q31,256,1,2,1406713,256,6400000000000,false,local-minimum+proven-pruned-certification,128.0,128.260000000000,127.995000000000,484,0,483,0,Exact
Quantum128BitADPS16,q31,256,2,2,3080920965,512,6400000000000,false,local-minimum+proven-pruned-certification,128.0,128.260000000000,127.995000000000,484,0,483,0,Exact
Quantum128BitADPS16,q31,256,3,2,1021749030585,768,6400000000000,false,local-minimum+proven-pruned-certification,128.0,128.260000000000,127.995000000000,484,0,483,0,Exact
Quantum128BitADPS16,q31,256,4,2,6400000000000,1024,6400000000000,true,local-minimum+proven-pruned-certification,128.0,163.240000000000,,616,0,,,AtLeast
Quantum128BitADPS16,q31,256,5,2,6400000000000,1280,6400000000000,true,local-minimum+proven-pruned-certification,128.0,220.745000000000,,833,0,,,AtLeast
Quantum128BitADPS16,q31,256,6,2,6400000000000,1536,6400000000000,true,local-minimum+proven-pruned-certification,128.0,280.900000000000,,1060,0,,,AtLeast
Quantum128BitADPS16,q31,256,7,2,6400000000000,1792,6400000000000,true,local-minimum+proven-pruned-certification,128.0,343.175000000000,,1295,0,,,AtLeast
Quantum128BitADPS16,q31,256,8,2,6400000000000,2048,6400000000000,true,local-minimum+proven-pruned-certification,128.0,407.570000000000,,1538,0,,,AtLeast
Quantum128BitADPS16,q31,256,9,2,6400000000000,2304,6400000000000,true,local-minimum+proven-pruned-certification,128.0,473.555000000000,,1787,0,,,AtLeast
Quantum128BitADPS16,q31,256,10,2,6400000000000,2560,6400000000000,true,local-minimum+proven-pruned-certification,128.0,540.865000000000,,2041,0,,,AtLeast
Quantum128BitADPS16,q31,256,11,2,6400000000000,2816,6400000000000,true,local-minimum+proven-pruned-certification,128.0,609.500000000000,,2300,0,,,AtLeast
Quantum128BitADPS16,q31,256,12,2,6400000000000,3072,6400000000000,true,local-minimum+proven-pruned-certification,128.0,679.460000000000,,2564,0,,,AtLeast
Quantum128BitADPS16,q31,256,13,2,6400000000000,3328,6400000000000,true,local-minimum+proven-pruned-certification,128.0,750.480000000000,,2832,0,,,AtLeast
Quantum128BitADPS16,q31,256,14,2,6400000000000,3584,6400000000000,true,local-minimum+proven-pruned-certification,128.0,822.295000000000,,3103,0,,,AtLeast
Quantum128BitADPS16,q31,256,15,2,6400000000000,3840,6400000000000,true,local-minimum+proven-pruned-certification,128.0,895.170000000000,,3378,0,,,AtLeast
Quantum128BitADPS16,q31,256,16,2,6400000000000,4096,6400000000000,true,local-minimum+proven-pruned-certification,128.0,968.840000000000,,3656,0,,,AtLeast
Quantum128BitADPS16,q31,256,17,2,6400000000000,4352,6400000000000,true,local-minimum+proven-pruned-certification,128.0,1043.570000000000,,3938,0,,,AtLeast
Quantum128BitADPS16,q31,256,18,2,6400000000000,4608,6400000000000,true,local-minimum+proven-pruned-certification,128.0,1118.830000000000,,4222,0,,,AtLeast
Quantum128BitADPS16,q31,256,19,2,6400000000000,4864,6400000000000,true,local-minimum+proven-pruned-certification,128.0,1194.620000000000,,4508,0,,,AtLeast
Quantum128BitADPS16,q31,256,20,2,6400000000000,5120,6400000000000,true,local-minimum+proven-pruned-certification,128.0,1271.470000000000,,4798,0,,,AtLeast
Quantum128BitADPS16,q31,512,1,2,1540460482,512,6400000000000,false,local-minimum+proven-pruned-certification,128.0,128.260000000000,127.995000000000,484,0,483,0,Exact
Quantum128BitADPS16,q31,512,2,2,6400000000000,1024,6400000000000,true,local-minimum+proven-pruned-certification,128.0,154.230000000000,,582,0,,,AtLeast
Quantum128BitADPS16,q31,512,3,2,6400000000000,1536,6400000000000,true,local-minimum+proven-pruned-certification,128.0,266.060000000000,,1004,0,,,AtLeast
Quantum128BitADPS16,q31,512,4,2,6400000000000,2048,6400000000000,true,local-minimum+proven-pruned-certification,128.0,386.635000000000,,1459,0,,,AtLeast
Quantum128BitADPS16,q31,512,5,2,6400000000000,2560,6400000000000,true,local-minimum+proven-pruned-certification,128.0,513.570000000000,,1938,0,,,AtLeast
Quantum128BitADPS16,q31,512,6,2,6400000000000,3072,6400000000000,true,local-minimum+proven-pruned-certification,128.0,645.540000000000,,2436,0,,,AtLeast
Quantum128BitADPS16,q31,512,7,2,6400000000000,3584,6400000000000,true,local-minimum+proven-pruned-certification,128.0,781.485000000000,,2949,0,,,AtLeast
Quantum128BitADPS16,q31,512,8,2,6400000000000,4096,6400000000000,true,local-minimum+proven-pruned-certification,128.0,921.405000000000,,3477,0,,,AtLeast
Quantum128BitADPS16,q31,512,9,2,6400000000000,4608,6400000000000,true,local-minimum+proven-pruned-certification,128.0,1063.975000000000,,4015,0,,,AtLeast
Quantum128BitADPS16,q31,512,10,2,6400000000000,5120,6400000000000,true,local-minimum+proven-pruned-certification,128.0,1209.725000000000,,4565,0,,,AtLeast
Quantum128BitADPS16,q31,512,11,2,6400000000000,5632,6400000000000,true,local-minimum+proven-pruned-certification,128.0,above-target:242343.381446164043,,4934,3276799999985487,,,AtLeast
Quantum128BitADPS16,q31,512,12,2,6400000000000,6144,6400000000000,true,local-minimum+proven-pruned-certification,128.0,above-target:268841.617552618205,,4934,3276799999984842,,,AtLeast
Quantum128BitADPS16,q31,512,13,2,6400000000000,6656,6400000000000,true,local-minimum+proven-pruned-certification,128.0,above-target:295541.360891237564,,4934,3276799999984223,,,AtLeast
Quantum128BitADPS16,q31,512,14,2,6400000000000,7168,6400000000000,true,local-minimum+proven-pruned-certification,128.0,above-target:322421.545241487329,,4933,3276799999983629,,,AtLeast
Quantum128BitADPS16,q31,512,15,2,6400000000000,7680,6400000000000,true,local-minimum+proven-pruned-certification,128.0,above-target:349438.880067166698,,4934,3276799999983053,,,AtLeast
Quantum128BitADPS16,q31,512,16,2,6400000000000,8192,6400000000000,true,local-minimum+proven-pruned-certification,128.0,above-target:376613.237597772444,,4934,3276799999982497,,,AtLeast
