family,q,d,rank,width,coeff_linf_bound,beta_input,zeta_input,target_bits,rop_log2,red_log2,sieve_log2,prob_log2,repetitions_log2,beta,eta,zeta,lattice_dimension,security_met,tiny_probability,trust,notes
q128,340282366920938463463374607427473266697,32,1,2,15,63,0,138,3761.9059529527772,3761.9059529527772,inf,-3741.3066984800776,3743.5099529527774,63,63,0,64,true,true,trusted,
q32,4294967197,32,1,2,2,63,0,138,875.94695017123638,875.94695017123638,525.35814068250011,-855.34769569853665,857.55095017123642,63,63,0,64,true,true,trusted,
q32,4294967197,32,1,2,15,40,0,138,699.35744982050801,699.35744982050801,355.4846403317718,-685.47419534780829,687.67744982050806,40,40,0,64,true,true,trusted,
q32,4294967197,32,1,2,15,40,5,138,648.61843220835078,648.61843220835078,304.74562271961457,-634.73517773565106,636.93843220835083,40,40,5,59,true,true,trusted,
q32,4294967197,32,1,2,15,63,0,138,689.90596109428532,689.90596109428532,339.3171516055491,-669.30670662158559,671.50996109428536,63,63,0,64,true,true,trusted,
q32,4294967197,32,5,10,15,50,0,138,4551.085602992579,4551.085602992579,inf,-4534.2823485198796,4536.4856029925795,50,50,0,320,true,true,trusted,
q32,4294967197,64,1,2,15,63,0,138,1442.9717806367155,1442.9717806367155,inf,-1422.3725261640159,1424.5757806367155,63,63,0,128,true,true,trusted,
q64,18446744073709551557,32,1,2,15,63,0,138,1713.9059529527776,1713.9059529527776,inf,-1693.306698480078,1695.5099529527777,63,63,0,64,true,true,trusted,
