family,q,d,rank,width,coeff_linf_bound,beta_input,zeta_input,target_bits,rop_log2,red_log2,sieve_log2,prob_log2,repetitions_log2,beta,eta,zeta,lattice_dimension,security_met,tiny_probability,trust,notes
q128,340282366920938463463374607427473266697,32,1,2,15,63,0,138,3760.7830545433335,3760.7830545433335,inf,-3740.1838000706339,3742.3870545433338,63,63,0,64,true,true,trusted,
q32,4294967197,32,1,2,2,63,0,138,874.82405176582131,874.82405176582131,524.23524227708504,-854.22479729312158,856.42805176582135,63,63,0,64,true,true,trusted,
q32,4294967197,32,1,2,15,40,0,138,696.5179992549721,696.5179992549721,352.64518976623589,-682.63474478227238,684.83799925497215,40,40,0,64,true,true,trusted,
q32,4294967197,32,1,2,15,40,5,138,720.52473404311525,720.52473404311525,376.65192455437904,-706.64147957041553,708.8447340431153,40,40,5,59,true,true,trusted,
q32,4294967197,32,1,2,15,63,0,138,688.78306291149431,688.78306291149431,338.19425342275809,-668.18380843879459,670.38706291149435,63,63,0,64,true,true,trusted,
q32,4294967197,32,5,10,15,50,0,138,4481.5244211340723,4481.5244211340723,inf,-4464.721166661373,4466.9244211340729,50,50,0,320,true,true,trusted,
q32,4294967197,64,1,2,15,63,0,138,1438.4445398606856,1438.4445398606856,inf,-1417.845285387986,1420.0485398606857,63,63,0,128,true,true,trusted,
q64,18446744073709551557,32,1,2,15,63,0,138,1712.7830545433335,1712.7830545433335,inf,-1692.1838000706339,1694.3870545433335,63,63,0,64,true,true,trusted,
