family,q,d,rank,width,coeff_linf_bound,beta_input,zeta_input,target_bits,rop_log2,red_log2,sieve_log2,prob_log2,repetitions_log2,beta,eta,zeta,lattice_dimension,security_met,tiny_probability,trust,notes
q128,340282366920938463463374607427473266697,32,1,2,15,63,0,138,3786.1830545680968,3786.1830545680968,inf,-3740.1838000706339,3742.3870545433338,63,63,0,64,true,true,trusted,
q32,4294967197,32,1,2,2,63,0,138,900.22405179058433,900.22405179058433,524.23524227708504,-854.22479729312158,856.42805176582135,63,63,0,64,true,true,trusted,
q32,4294967197,32,1,2,15,40,0,138,721.91800185825775,721.91800185825775,352.64518976623589,-682.63474478227238,684.83799925497215,40,40,0,64,true,true,trusted,
q32,4294967197,32,1,2,15,40,5,138,745.80737930488885,745.80737930488885,376.65192455437904,-706.64147957041553,708.8447340431153,40,40,5,59,true,true,trusted,
q32,4294967197,32,1,2,15,63,0,138,714.18306293625733,714.18306293625733,338.19425342275809,-668.18380843879459,670.38706291149435,63,63,0,64,true,true,trusted,
q32,4294967197,32,5,10,15,50,0,138,4509.2463578280667,4509.2463578280667,inf,-4464.721166661373,4466.9244211340729,50,50,0,320,true,true,trusted,
q32,4294967197,64,1,2,15,63,0,138,1464.8445399597381,1464.8445399597381,inf,-1417.845285387986,1420.0485398606857,63,63,0,128,true,true,trusted,
q64,18446744073709551557,32,1,2,15,63,0,138,1738.1830545680966,1738.1830545680966,inf,-1692.1838000706339,1694.3870545433335,63,63,0,64,true,true,trusted,
