n,m,bound,beta,log2_arg,probability,repetitions,quantum_cost
512,462336,1860,483,1.42175027920299705233389273418055501185752950784222986727488,0.596673802796653299152414541487190028915655151091671462403602,6,130.579962500721156181453738943947816508759814407692481060456
512,462848,1860,483,1.42254867167016179260324034129719002716718997783317267206903,0.995232701673505960040688265940312348632637348850426489555732,1,127.995
512,463360,1860,483,1.42334618144785179264591145460647286668832702040940369877161,1,1,127.995
96,1145376,1,483,1.50369438575676651855236828882420238778703811919762506791482,0.996449523083278992585855301685172439747677320502752789874543,1,127.995
96,1145408,1,483,1.50371453878791718561133716665584520073943599493106278305583,1,1,127.995
96,1145440,1,483,1.50373469125604752403633613820929123444840848103394947549285,1,1,127.995
1024,8192,16777215,343,0.903180561296262474113199938408039679740642716686014926409032,1.69179313572816272401182250038155047401748553885160647247714e-8,272206457,118.915126048466126157961497225844223003210982860547346580120
