policy,modulus_profile,d,rank,coeff_linf_bound,max_width,scalar_n,search_cap,hit_cap,profile,target_bits,max_adps16_quantum_rop_log2,next_adps16_quantum_rop_log2,max_beta,max_zeta,next_beta,next_zeta,cutoff_kind
Quantum128BitADPS16,q32,32,1,1,127,32,128,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,127.995000000000,484,,483,0,Exact
Quantum128BitADPS16,q32,64,1,1,1769,64,2048,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,127.995000000000,484,,483,0,Exact
Quantum128BitADPS16,q32,128,1,1,1024,128,1024,true,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,,484,,,,AtLeast
Quantum128BitADPS16,q64,16,1,1,254,16,256,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,127.995000000000,484,,483,0,Exact
Quantum128BitADPS16,q64,32,1,1,3538,32,4096,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,127.995000000000,484,,483,0,Exact
Quantum128BitADPS16,q64,64,1,1,2048,64,2048,true,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,,484,,,,AtLeast
Quantum128BitADPS16,q128,8,1,1,508,8,512,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,127.995000000000,484,,483,0,Exact
Quantum128BitADPS16,q128,16,1,1,7077,16,8192,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,127.995000000000,484,,483,0,Exact
Quantum128BitADPS16,q128,32,1,1,4096,32,4096,true,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,,484,,,,AtLeast
