family,q,d,rank,width,coeff_linf_bound,target_bits,rop_log2,red_log2,sieve_log2,prob_log2,repetitions_log2,beta,eta,zeta,lattice_dimension,security_met,tiny_probability,trust,notes
q64,18446744073709551557,128,5,40,15,138,,,,,,,,,,false,false,fragile,"OverflowError: (34, 'Result too large')"
q64,18446744073709551557,128,5,40,255,138,,,,,,,,,,false,false,fragile,"OverflowError: (34, 'Result too large')"
q64,18446744073709551557,128,5,40,4095,138,,,,,,,,,,false,false,fragile,"OverflowError: (34, 'Result too large')"
q64,18446744073709551557,128,20,40,2,138,,,,,,,,,,false,false,fragile,"OverflowError: (34, 'Result too large')"
q64,18446744073709551557,128,20,40,15,138,,,,,,,,,,false,false,fragile,"OverflowError: (34, 'Result too large')"
q64,18446744073709551557,128,20,40,255,138,,,,,,,,,,false,false,fragile,"OverflowError: (34, 'Result too large')"
q64,18446744073709551557,128,20,40,4095,138,,,,,,,,,,false,false,fragile,"OverflowError: (34, 'Result too large')"
q64,18446744073709551557,128,20,160,2,138,,,,,,,,,,false,false,fragile,"OverflowError: (34, 'Result too large')"
q64,18446744073709551557,128,20,160,15,138,,,,,,,,,,false,false,fragile,"OverflowError: (34, 'Result too large')"
q64,18446744073709551557,128,20,160,255,138,,,,,,,,,,false,false,fragile,"OverflowError: (34, 'Result too large')"
q64,18446744073709551557,128,20,160,4095,138,,,,,,,,,,false,false,fragile,"OverflowError: (34, 'Result too large')"
q64,18446744073709551557,256,1,2,2,138,inf,15149.38669635973,inf,-14997.97144188703,inf,511,511,0,512,true,true,trusted,
q64,18446744073709551557,256,1,2,15,138,inf,13661.05871140817,inf,-13509.64345693547,inf,511,511,0,512,true,true,trusted,
q64,18446744073709551557,256,1,2,255,138,inf,11568.277736688002,inf,-11416.862482215301,inf,511,511,0,512,true,true,trusted,
q64,18446744073709551557,256,1,2,4095,138,9517.5670552586107,9517.5670552586107,inf,-9366.1518007859104,inf,511,511,0,512,true,true,trusted,
q64,18446744073709551557,256,1,8,2,138,inf,11420.073740666581,inf,-10820.146486193882,inf,2047,2047,1,2047,true,true,trusted,
q64,18446744073709551557,256,1,8,15,138,5488.0690043374534,5488.0690043374534,inf,-4888.1417498647534,inf,2047,2047,0,2048,true,true,trusted,
q64,18446744073709551557,256,1,8,255,138,421.06399999999996,421.06399999999996,-332.19280948873626,0,0,1442,1442,0,2048,true,false,trusted,
q64,18446744073709551557,256,1,8,4095,138,190.38399999999999,190.38399999999999,-332.19280948873626,0,0,652,652,1,2047,true,false,trusted,
q64,18446744073709551557,256,5,10,2,138,inf,75715.240727141601,inf,-74966.101472668903,inf,2558,2558,0,2560,true,true,trusted,
q64,18446744073709551557,256,5,10,15,138,inf,68273.304326100071,inf,-67523.873071627371,inf,2559,2559,1,2559,true,true,trusted,
q64,18446744073709551557,256,5,10,255,138,inf,57809.695928782945,inf,-57060.556674310246,inf,2558,2558,0,2560,true,true,trusted,
q64,18446744073709551557,256,5,10,4095,138,inf,47556.142521636088,inf,-46807.003267163389,inf,2558,2558,0,2560,true,true,trusted,
q64,18446744073709551557,256,5,40,2,138,,,,,,,,,,false,false,fragile,"OverflowError: (34, 'Result too large')"
q64,18446744073709551557,256,5,40,15,138,,,,,,,,,,false,false,fragile,"OverflowError: (34, 'Result too large')"
q64,18446744073709551557,256,5,40,255,138,,,,,,,,,,false,false,fragile,"OverflowError: (34, 'Result too large')"
q64,18446744073709551557,256,5,40,4095,138,,,,,,,,,,false,false,fragile,"OverflowError: (34, 'Result too large')"
q64,18446744073709551557,256,20,40,2,138,,,,,,,,,,false,false,fragile,"OverflowError: (34, 'Result too large')"
q64,18446744073709551557,256,20,40,15,138,,,,,,,,,,false,false,fragile,"OverflowError: (34, 'Result too large')"
q64,18446744073709551557,256,20,40,255,138,,,,,,,,,,false,false,fragile,"OverflowError: (34, 'Result too large')"
q64,18446744073709551557,256,20,40,4095,138,,,,,,,,,,false,false,fragile,"OverflowError: (34, 'Result too large')"
q64,18446744073709551557,256,20,160,2,138,,,,,,,,,,false,false,fragile,"OverflowError: (34, 'Result too large')"
q64,18446744073709551557,256,20,160,15,138,,,,,,,,,,false,false,fragile,"OverflowError: (34, 'Result too large')"
q64,18446744073709551557,256,20,160,255,138,,,,,,,,,,false,false,fragile,"OverflowError: (34, 'Result too large')"
q64,18446744073709551557,256,20,160,4095,138,,,,,,,,,,false,false,fragile,"OverflowError: (34, 'Result too large')"
